missing_documents,document_errors,dependencies,inspection_required,application_complexity,days_to_deadline,number_of_requirements,high_risk
1,0,2,1,1,14,8,1
1,0,1,0,1,48,14,0
0,0,1,0,3,81,9,0
0,1,1,0,2,33,11,0
1,0,1,0,3,4,14,0
1,0,1,0,2,49,11,0
1,1,0,1,1,60,10,0
1,0,0,1,2,110,10,0
2,0,1,0,2,97,11,0
0,0,1,0,1,22,14,0
2,0,2,0,2,33,11,0
0,0,0,1,1,23,7,0
2,0,0,0,1,109,4,0
2,1,0,0,1,43,12,0
1,2,0,1,2,107,9,0
0,0,1,1,2,8,8,0
0,0,0,1,1,67,14,0
1,1,0,0,3,9,5,0
0,0,0,0,3,66,4,0
1,0,0,0,2,2,12,1
3,0,0,1,1,19,14,1
0,1,0,1,1,18,13,0
1,0,3,0,1,85,13,0
0,1,3,1,3,77,13,1
0,0,3,0,3,67,11,0
0,0,2,1,1,24,14,0
1,1,0,0,2,32,7,0
0,0,1,0,1,45,12,0
2,1,1,0,1,117,5,0
1,0,0,1,2,84,9,0
2,2,0,0,1,4,7,1
5,1,1,0,1,4,14,1
3,1,1,1,2,42,8,1
1,0,3,1,2,25,6,1
1,0,0,1,2,49,10,0
2,1,2,1,2,119,4,0
1,0,2,1,2,24,5,0
2,4,1,1,2,72,8,1
0,1,0,0,2,58,10,0
0,1,2,0,3,79,10,0
3,1,2,0,1,66,4,0
2,1,1,0,2,62,11,1
0,0,1,0,1,33,4,0
2,0,1,0,2,115,12,0
2,0,0,0,2,32,4,1
0,1,2,1,3,18,4,0
1,1,1,1,3,12,9,0
0,0,1,0,2,9,12,0
2,1,1,1,1,43,12,1
1,0,0,0,3,98,10,0
2,0,1,0,1,19,5,0
2,0,0,0,2,1,14,1
2,1,0,0,3,64,4,0
0,0,1,0,2,67,7,0
1,1,0,1,2,68,12,0
0,1,2,0,1,1,10,1
0,1,1,0,1,25,12,0
1,0,1,0,3,42,12,0
1,2,0,0,1,89,14,0
0,1,0,1,2,78,9,0
1,2,0,1,2,97,13,0
1,0,3,1,2,66,5,0
0,0,1,1,1,49,5,0
0,1,1,0,1,67,4,0
1,0,2,0,2,46,6,0
2,1,2,1,2,19,5,1
1,0,0,0,3,69,13,0
1,1,2,0,2,36,9,0
1,1,1,0,3,32,8,0
2,0,1,1,1,85,11,0
2,1,0,0,2,8,7,0
4,0,0,1,3,3,10,1
1,0,2,0,3,43,4,0
0,4,0,0,2,71,11,0
2,0,1,0,2,100,13,0
2,0,0,0,3,62,4,0
2,4,1,0,1,31,4,1
0,3,1,1,1,41,5,0
0,1,2,0,2,46,10,0
1,0,3,0,3,40,12,0
1,1,2,0,2,80,13,0
2,0,0,0,2,96,12,0
1,0,0,1,3,85,10,0
2,0,1,0,1,46,11,0
0,0,0,1,3,35,7,0
2,1,1,0,1,10,12,1
1,1,0,0,2,95,6,0
1,0,1,1,2,115,14,0
1,1,1,0,1,7,4,0
1,0,2,1,2,16,14,1
1,2,0,0,3,26,9,0
1,2,1,0,2,95,11,0
2,0,0,1,1,26,5,0
2,0,3,0,1,2,7,1
2,0,0,1,2,40,13,1
1,1,1,1,2,44,4,0
0,0,0,0,2,48,6,0
1,1,0,0,1,62,10,0
4,0,0,1,2,29,12,0
2,1,1,0,2,4,8,0
1,0,1,1,1,13,4,1
0,0,0,0,2,88,5,0
1,0,1,0,2,79,13,0
1,2,2,0,3,32,6,0
0,1,1,1,2,112,10,1
0,1,0,1,1,65,14,0
0,0,1,1,3,95,8,0
0,1,1,0,1,95,4,0
0,0,1,0,3,36,12,0
0,0,2,0,2,71,12,0
0,1,0,0,3,71,11,0
1,0,1,0,3,55,13,0
1,1,1,0,3,76,12,0
0,1,2,0,1,40,11,0
0,2,1,0,3,12,7,0
0,1,2,1,2,6,4,0
4,2,1,0,2,54,11,1
1,2,1,1,2,109,13,0
3,0,0,0,2,26,11,0
2,2,1,0,3,71,11,1
1,0,2,1,3,20,11,0
2,0,1,0,2,76,7,1
1,2,0,1,2,22,5,0
4,0,1,0,1,53,10,1
0,0,0,0,2,97,14,0
1,0,0,1,3,45,5,0
1,1,0,0,2,112,4,0
1,0,1,0,3,6,11,0
1,0,0,0,2,10,8,0
2,0,2,0,2,21,13,0
1,1,1,0,2,30,9,1
0,0,1,1,1,51,9,0
1,0,1,0,3,109,4,0
1,2,1,1,3,29,14,0
2,1,1,0,3,43,7,0
4,1,0,0,3,6,8,1
1,2,1,0,2,86,10,0
2,0,0,1,2,65,13,0
1,0,0,1,3,6,12,0
2,0,0,0,1,56,12,0
2,0,0,0,3,26,5,0
1,0,1,1,1,51,4,0
1,1,1,0,3,34,13,1
2,1,1,0,2,94,14,0
1,0,2,1,3,7,10,1
2,0,2,0,2,72,14,0
0,1,1,1,2,95,7,0
3,0,1,1,3,1,7,1
1,1,0,0,2,108,5,0
0,1,1,0,1,91,12,0
2,0,4,0,1,34,11,1
1,1,3,1,2,58,6,1
1,1,0,0,2,82,14,0
1,0,0,0,2,62,4,0
1,2,0,0,1,91,12,0
0,1,1,0,1,106,6,0
1,0,1,0,3,43,12,1
1,0,4,0,2,13,9,1
3,1,0,0,1,52,6,0
1,1,1,0,1,72,4,0
1,0,0,1,1,93,10,0
0,1,0,1,3,34,5,0
1,0,2,0,2,111,8,0
1,1,1,0,2,5,14,1
0,0,0,0,2,70,13,0
1,2,0,0,3,53,9,0
1,1,0,1,2,83,12,0
1,0,1,0,2,34,13,0
2,1,0,0,2,111,10,0
2,1,0,0,3,1,6,1
1,0,3,1,2,98,12,1
2,0,1,0,2,59,4,0
1,0,0,1,3,62,9,1
2,0,1,0,1,38,12,0
3,1,1,0,2,47,10,0
2,0,0,0,2,52,7,0
1,0,1,1,3,38,8,0
2,1,0,0,1,2,9,1
0,0,2,1,2,48,12,0
1,0,0,1,3,48,14,1
0,1,0,0,2,86,12,0
0,2,0,0,2,56,7,0
2,0,0,0,1,66,5,0
0,0,0,1,1,56,9,0
3,0,3,1,2,51,13,1
0,0,3,0,1,86,10,0
0,1,2,1,3,81,7,0
1,0,0,0,2,118,4,0
0,0,0,1,3,60,6,0
3,1,1,1,1,4,11,1
1,1,0,0,2,70,11,0
1,0,0,0,3,48,8,0
1,2,0,0,1,12,7,0
2,0,1,1,1,102,5,0
1,0,0,0,2,76,14,0
1,2,1,1,1,75,8,0
0,0,2,0,1,76,12,0
3,0,1,0,2,118,9,0
0,0,3,1,3,82,10,0
1,1,3,0,1,85,11,0
0,0,1,1,2,90,7,0
1,0,0,0,2,87,14,0
0,1,1,0,2,84,9,0
1,0,0,0,2,10,12,0
1,1,3,0,1,48,14,0
1,2,2,1,1,33,8,1
1,2,0,0,2,106,6,0
2,1,1,0,3,70,14,0
0,0,1,0,2,62,12,0
0,0,0,1,2,63,12,0
0,0,0,1,3,82,14,0
1,1,1,1,3,91,4,0
1,1,1,1,3,24,14,1
2,0,1,0,2,119,5,0
0,0,1,0,3,91,5,0
0,0,0,0,2,25,6,0
1,2,1,0,2,73,5,0
1,2,1,1,3,51,4,1
2,0,0,1,2,45,5,0
1,0,0,0,3,104,9,0
1,1,1,1,3,34,8,0
2,0,0,0,2,100,7,1
1,1,1,1,1,76,5,0
1,1,3,0,3,98,14,1
1,1,0,1,2,89,7,0
1,0,2,0,2,74,9,0
0,1,3,1,1,23,5,0
1,2,2,1,3,119,6,1
2,0,0,0,3,77,6,0
2,2,0,0,1,43,14,0
0,0,0,1,2,31,5,0
0,1,0,0,3,14,9,0
0,1,1,0,1,38,9,0
2,0,1,0,1,16,4,1
1,2,1,1,2,106,7,0
2,1,1,1,3,52,4,1
0,0,1,0,2,75,5,0
2,0,1,1,1,96,11,0
0,0,1,0,1,115,10,0
0,0,0,0,2,54,9,0
2,0,1,1,1,7,6,1
3,0,2,0,2,73,10,0
1,2,0,0,1,113,13,0
2,0,1,0,3,43,13,0
2,1,0,1,2,13,5,0
1,1,1,0,3,86,11,0
0,0,0,0,1,74,6,0
1,0,1,0,2,19,13,0
1,2,0,0,3,1,9,1
0,2,2,0,2,62,12,0
1,1,0,0,1,18,9,1
2,0,1,1,1,23,11,0
3,0,1,1,2,37,14,1
2,2,2,1,2,56,5,1
3,0,0,1,3,98,13,1
3,0,0,1,3,52,9,1
0,2,0,1,2,100,5,0
1,0,1,0,3,72,8,1
1,1,0,1,2,47,4,0
1,0,0,0,1,61,9,0
2,0,2,0,1,17,9,0
3,0,2,0,3,117,8,1
1,0,1,0,2,36,8,0
0,1,0,0,3,108,10,0
3,0,1,1,1,77,13,1
1,2,2,0,1,35,8,1
3,0,1,0,3,58,4,0
1,1,0,0,3,15,10,0
3,1,1,1,3,74,14,1
0,0,1,0,1,8,8,1
0,0,1,0,2,77,5,0
0,1,1,1,2,24,13,1
2,0,1,1,3,16,8,1
0,0,1,0,1,27,8,0
0,1,0,1,2,11,7,0
1,1,1,0,1,106,12,0
1,0,2,1,2,112,5,1
1,2,0,0,1,111,10,0
2,0,0,1,3,86,7,0
0,0,0,0,1,28,8,0
3,0,1,1,2,91,6,1
0,0,1,0,3,91,12,0
2,2,1,0,1,29,8,0
3,0,0,1,1,100,14,1
0,0,2,1,2,119,13,0
4,0,2,0,2,45,12,1
1,0,1,1,2,71,8,0
0,2,1,0,2,104,14,0
0,1,0,0,1,32,10,0
1,1,0,0,3,118,8,0
0,0,2,0,1,37,7,0
1,1,0,1,2,116,14,0
0,1,0,0,3,28,6,0
1,2,0,1,3,89,13,1
2,0,1,0,1,63,6,0
4,1,2,1,1,45,12,1
2,1,3,0,2,53,7,0
3,0,0,1,2,28,13,0
0,1,0,1,2,80,13,0
1,1,1,0,2,119,12,0
1,0,2,0,1,70,14,0
0,0,0,1,2,33,9,0
1,3,1,1,2,80,13,1
1,0,0,0,3,53,10,0
1,1,0,1,2,110,4,0
1,0,2,1,1,32,8,0
2,1,1,1,2,62,4,1
1,0,2,0,2,60,11,0
0,1,1,0,3,106,5,0
1,0,2,1,3,14,7,0
3,1,2,0,3,74,13,1
1,0,1,0,2,97,12,0
0,1,0,1,3,44,7,0
0,0,2,0,1,61,9,0
2,0,2,0,2,36,10,0
3,0,1,1,2,50,7,1
3,0,2,1,3,114,12,1
1,0,1,1,3,44,5,0
1,1,0,1,1,25,8,0
0,2,1,0,3,69,6,0
0,0,2,0,3,56,11,1
1,0,2,0,3,93,11,0
0,1,2,1,2,5,12,0
1,0,0,0,3,108,8,0
3,0,1,0,3,84,6,0
0,0,2,0,2,101,4,0
1,2,2,0,2,49,13,0
3,1,2,0,3,54,7,1
2,0,2,1,3,40,12,1
0,0,2,0,2,100,8,0
0,1,1,1,3,9,7,0
1,0,0,1,1,63,6,0
1,0,0,0,2,31,12,0
3,3,1,1,2,76,7,1
0,0,0,0,2,115,7,0
1,1,1,0,2,81,11,0
5,2,0,0,2,6,9,1
2,2,0,1,2,48,12,1
1,1,3,1,1,4,5,1
0,1,1,0,1,58,14,0
0,0,0,1,2,21,6,0
0,3,0,1,2,83,5,0
2,0,1,1,1,64,5,0
1,0,0,0,1,37,7,0
1,2,2,1,1,103,8,0
1,0,0,1,1,89,4,0
3,1,1,0,3,75,10,1
0,0,2,1,2,43,10,0
4,2,0,0,2,33,12,1
3,0,2,1,2,70,4,0
2,2,3,1,1,95,5,1
1,1,0,0,2,100,6,0
0,2,2,0,3,93,8,0
2,1,0,1,1,3,10,0
0,0,1,1,1,118,6,0
3,0,0,1,2,29,7,1
1,1,0,1,1,2,9,1
1,0,0,0,1,67,9,0
1,1,1,0,2,55,9,0
1,2,0,1,2,13,11,0
2,0,1,0,1,26,12,0
1,1,1,1,3,25,13,1
1,0,0,0,1,53,14,0
1,3,1,0,2,90,8,1
1,2,0,1,2,82,7,1
1,2,0,1,2,4,7,1
2,0,0,1,2,21,7,0
3,0,0,0,2,73,9,1
1,0,0,1,2,96,10,0
2,0,0,0,3,5,4,0
1,0,0,1,2,40,14,0
2,1,1,1,2,14,4,1
1,0,0,0,3,58,8,0
0,0,1,1,1,47,8,0
2,0,1,0,3,21,7,1
0,1,2,0,1,115,6,0
0,0,0,1,2,91,9,0
1,1,2,0,2,65,4,1
2,0,1,1,2,92,12,1
1,1,1,0,1,38,11,0
1,3,1,0,2,112,12,1
1,2,1,1,3,49,12,0
2,1,4,0,3,46,13,1
2,1,1,1,2,68,5,0
0,0,2,0,1,69,13,0
1,0,1,0,2,74,10,0
0,1,2,0,2,100,5,0
1,0,1,0,1,32,14,0
2,0,1,0,3,85,12,1
0,1,2,0,2,24,6,0
1,1,3,0,2,29,13,1
1,0,0,0,2,59,12,0
1,1,1,0,1,63,8,0
0,2,2,0,2,77,5,0
1,0,0,0,2,17,12,0
0,0,2,0,2,98,14,0
2,1,0,0,2,67,6,0
4,1,1,0,2,71,4,1
3,0,1,0,2,89,6,0
1,1,0,0,3,83,7,0
2,1,2,1,2,52,8,0
2,1,1,0,2,58,14,1
2,0,0,0,3,28,14,0
1,2,2,1,2,68,11,1
2,1,2,0,2,25,6,1
0,1,1,0,3,76,6,0
0,0,0,1,2,50,4,0
0,2,1,1,3,29,12,1
1,0,2,1,2,57,6,0
0,1,2,1,2,112,13,0
2,0,0,0,1,67,10,0
3,0,0,1,1,42,9,0
4,0,1,0,2,54,14,0
1,0,1,1,1,72,5,0
3,1,1,0,2,19,9,1
1,0,1,0,1,67,6,0
0,1,1,0,1,5,5,0
1,1,1,0,2,102,14,0
0,1,1,0,2,73,10,0
0,2,1,1,2,14,5,0
0,0,0,0,3,56,5,0
2,1,0,1,1,106,7,0
0,0,0,0,1,115,13,0
1,1,2,0,3,17,5,1
1,0,2,0,3,33,12,0
1,1,2,0,2,18,5,1
1,0,1,0,2,44,7,0
4,0,3,0,3,103,9,1
2,1,1,0,2,85,5,0
1,2,1,1,1,31,8,1
3,2,1,0,1,39,6,1
0,1,0,1,1,73,4,0
1,0,0,1,3,72,4,0
2,0,0,0,2,56,5,0
0,1,1,1,1,51,12,0
0,1,3,1,1,112,4,1
1,0,1,1,1,60,9,0
0,0,0,1,2,94,4,0
1,1,2,0,3,115,6,0
1,0,1,1,2,40,5,0
1,0,1,0,3,93,7,0
3,0,1,0,1,97,12,0
2,1,1,1,2,27,8,1
1,0,0,0,2,27,4,0
0,1,0,1,1,20,5,0
1,0,0,0,2,74,7,0
1,1,2,0,3,91,7,1
1,1,2,1,1,90,10,0
1,0,2,0,2,47,7,0
0,0,0,0,3,84,12,0
0,0,0,1,3,4,6,0
0,0,2,1,2,79,11,0
0,2,1,1,1,57,5,0
0,0,2,0,3,99,14,0
1,1,1,1,1,116,14,0
0,0,0,1,1,67,7,0
0,0,0,1,1,74,6,0
0,1,1,0,2,111,4,0
1,0,1,0,2,41,14,0
1,0,1,0,3,18,4,0
0,1,1,0,2,61,4,0
1,1,3,0,3,43,5,0
0,2,3,0,2,76,7,0
0,0,0,1,2,94,14,0
4,1,1,0,1,60,5,1
1,0,0,0,1,37,10,0
1,0,1,0,2,68,11,0
2,1,0,1,2,53,12,1
2,1,2,0,1,23,11,0
1,0,0,0,2,92,14,0
3,0,2,1,2,40,11,1
2,1,1,1,2,65,13,1
0,0,1,0,1,109,7,0
0,0,1,1,1,23,8,0
1,0,2,1,2,51,12,1
2,0,1,0,3,21,13,1
0,0,2,1,3,52,4,0
1,0,2,0,1,36,8,0
2,1,1,1,1,109,12,1
1,0,0,1,2,37,5,0
1,0,2,1,1,74,7,0
3,0,1,1,3,17,10,1
1,1,1,0,2,55,4,1
0,0,1,0,3,100,14,0
0,1,0,1,1,80,8,0
1,2,3,0,3,34,12,1
1,0,1,0,3,116,8,0
0,0,0,1,2,96,8,0
1,0,2,0,3,48,14,0
3,0,3,0,2,116,13,1
1,1,4,0,1,23,9,0
2,0,1,0,2,40,9,0
0,0,0,1,3,111,12,0
0,2,1,0,3,116,11,0
0,1,2,0,2,98,14,0
3,1,2,1,2,23,7,1
1,1,0,0,1,27,5,0
1,0,2,1,1,78,6,1
0,1,0,0,2,7,9,0
1,0,1,0,2,118,7,0
2,2,1,0,1,113,12,0
3,1,4,1,3,97,13,1
3,0,3,1,2,116,6,1
0,1,0,0,2,28,14,0
0,1,2,0,1,105,10,0
1,0,1,0,1,31,6,0
0,1,1,0,2,15,6,0
0,0,1,0,3,32,5,0
1,1,0,1,1,93,9,0
3,0,1,1,3,113,4,1
2,0,1,0,3,73,5,0
1,0,2,0,3,30,12,0
1,1,0,0,2,72,9,0
2,0,5,0,2,61,9,1
1,0,3,0,3,62,7,0
2,0,1,1,2,42,10,1
0,0,0,0,1,17,7,0
1,0,2,0,2,43,4,0
3,1,1,0,2,106,10,1
2,0,1,0,2,49,4,0
1,0,2,1,3,3,11,1
1,0,1,1,2,42,14,0
1,0,1,1,1,55,11,0
1,0,1,1,3,72,10,0
0,0,2,0,1,77,14,0
2,0,1,1,1,51,6,0
1,1,2,1,3,18,12,0
0,2,2,0,3,53,6,0
0,0,3,0,2,1,4,1
3,0,0,1,2,61,6,0
0,0,3,1,2,53,9,0
1,0,0,0,3,43,4,0
3,0,1,1,3,79,7,0
2,1,0,1,1,90,4,0
1,1,0,1,3,32,6,0
1,0,0,0,2,60,11,0
3,2,0,0,1,61,5,1
1,0,1,1,1,61,6,0
0,0,1,0,1,48,5,0
0,0,3,0,3,25,8,0
1,0,2,1,2,21,12,1
0,0,1,0,2,4,9,0
2,0,1,0,1,7,6,0
1,1,0,1,3,97,7,0
2,0,1,0,2,9,11,1
5,0,1,1,3,102,9,1
2,1,0,0,2,107,9,0
0,0,1,0,3,29,13,0
0,1,0,0,2,53,13,0
3,1,0,0,2,43,6,0
0,0,0,0,3,47,11,0
1,2,1,1,2,43,12,1
5,0,1,1,3,41,13,1
0,1,2,0,1,82,6,0
0,2,1,0,2,50,12,0
1,0,0,1,3,23,6,0
0,0,2,0,3,46,8,0
1,0,0,0,2,117,4,0
4,0,3,0,2,118,10,1
1,0,1,0,3,8,11,1
1,1,1,0,2,69,8,0
0,0,2,0,3,116,8,0
2,1,0,1,1,24,6,1
1,0,1,0,1,9,12,0
1,2,1,0,3,26,14,1
0,0,1,0,2,38,5,0
0,0,1,0,2,112,7,0
1,2,1,1,2,30,10,0
1,1,2,1,3,40,8,0
0,0,2,1,2,31,4,0
1,2,4,0,3,47,4,1
2,1,1,0,2,119,6,0
1,1,1,0,2,10,14,1
0,1,2,0,1,55,10,0
3,1,2,0,2,74,6,0
1,0,1,0,1,15,4,0
1,3,3,0,1,6,12,1
1,1,2,0,2,117,8,1
3,1,1,0,2,33,8,1
1,1,4,0,2,29,10,1
0,0,3,0,2,42,6,0
1,0,0,1,2,9,12,0
0,0,2,0,2,18,7,0
0,0,2,0,3,3,11,1
1,0,1,0,3,64,9,0
0,1,0,0,3,56,5,0
1,0,1,1,1,33,10,0
2,3,2,0,2,110,4,1
2,3,2,1,3,37,11,1
0,0,0,1,3,3,8,0
0,2,1,0,2,12,11,0
0,1,0,1,2,87,6,0
3,0,1,1,3,64,8,1
2,1,1,1,3,31,7,0
2,3,4,0,2,30,6,1
2,0,0,1,1,27,7,0
1,1,0,0,3,51,4,0
0,1,2,0,2,84,8,0
0,1,4,1,1,76,5,0
2,0,2,0,2,89,9,0
0,1,0,0,2,5,4,0
0,0,2,0,2,67,4,0
0,1,0,0,3,91,8,0
2,0,0,0,1,25,7,0
1,0,0,0,1,70,13,0
0,1,3,0,2,1,6,1
0,1,1,1,1,109,8,0
6,1,2,0,2,88,6,1
0,1,1,1,2,75,13,0
0,0,0,0,2,72,12,0
0,0,1,1,3,80,5,0
0,1,1,1,1,51,6,0
1,0,1,1,3,116,6,0
2,2,0,0,2,26,5,0
1,0,2,0,2,97,6,0
0,0,1,1,3,91,13,0
0,0,0,1,1,100,9,0
1,1,0,0,3,9,8,0
3,0,1,1,1,53,6,1
2,0,0,1,3,77,6,0
2,0,1,0,1,74,10,0
0,0,1,1,2,82,12,0
1,0,1,1,1,76,10,0
0,1,0,0,2,27,11,0
0,1,1,0,1,99,6,0
1,1,2,0,1,58,14,0
1,0,1,0,1,116,13,0
3,2,2,0,1,62,13,1
0,0,0,1,2,64,11,0
1,2,0,0,2,71,11,0
4,0,2,1,1,104,4,0
0,0,2,1,3,108,5,0
1,0,4,1,2,70,5,1
1,0,2,0,1,66,9,0
1,1,1,0,2,7,10,1
0,0,1,1,2,9,5,0
0,2,2,0,2,88,12,0
1,0,0,0,3,42,10,0
1,0,1,0,2,52,10,0
0,0,0,0,3,75,14,0
0,0,1,1,2,27,10,0
2,0,1,0,3,40,4,0
3,0,2,0,2,6,12,1
2,0,0,0,2,92,13,0
1,0,0,0,2,61,4,0
0,2,0,0,3,23,9,0
1,1,2,1,1,71,9,0
0,0,1,1,1,18,5,0
0,1,2,1,1,93,7,0
0,0,2,0,1,28,13,0
2,0,0,0,3,33,8,0
0,0,0,0,2,105,9,0
1,1,3,1,1,89,12,1
2,0,2,1,2,82,8,0
3,0,1,1,1,72,13,1
1,0,2,0,3,62,9,0
1,0,1,0,3,23,14,0
0,2,0,1,1,36,5,0
2,1,0,0,2,115,13,0
0,0,1,1,3,110,5,0
0,0,0,1,2,87,12,0
1,0,1,0,3,106,11,0
3,2,0,1,2,96,10,1
0,0,0,1,1,48,13,0
0,1,0,1,2,86,11,0
1,0,1,0,1,90,11,0
0,3,0,0,3,17,12,1
1,0,1,1,3,109,13,0
2,0,0,0,2,59,6,0
2,1,1,0,2,38,13,1
2,0,0,0,3,57,10,0
1,0,1,0,3,40,4,0
0,2,3,1,2,40,14,1
0,0,2,0,3,65,12,0
1,1,2,0,1,119,13,0
2,0,1,0,3,49,12,0
1,0,1,0,2,26,7,0
1,0,0,0,1,91,7,0
0,0,2,0,2,36,7,0
2,1,5,0,2,64,8,1
2,0,0,0,2,31,4,0
0,1,1,1,2,26,12,0
0,0,0,0,2,30,12,0
0,1,1,0,3,43,14,0
1,0,2,0,2,114,10,0
1,1,1,1,1,80,14,0
2,0,1,0,3,83,6,0
1,0,0,0,2,7,9,0
2,0,1,1,2,2,12,1
1,0,1,1,3,41,12,0
1,1,0,0,1,106,12,0
2,1,1,1,3,2,9,1
1,1,2,1,2,92,4,1
1,0,0,0,1,98,13,0
0,0,1,1,3,34,8,0
3,0,0,0,3,14,11,1
3,2,1,1,1,19,5,1
3,0,0,1,3,10,14,1
0,1,4,1,3,101,6,1
0,1,1,0,3,94,14,0
2,1,1,1,1,81,11,1
2,1,0,0,1,11,7,0
0,0,0,0,3,114,8,0
2,1,1,1,3,82,14,1
4,0,3,0,1,99,10,1
1,0,0,1,2,46,11,0
1,0,2,0,1,24,10,0
1,2,1,0,2,98,6,0
1,2,1,0,2,7,5,1
0,0,0,0,1,22,4,0
0,0,1,0,2,19,8,0
2,0,0,0,2,11,11,0
2,0,3,1,2,66,7,0
1,1,1,1,3,28,6,0
0,0,1,1,1,115,8,0
1,1,1,0,1,111,6,0
4,0,1,0,2,21,8,1
1,2,0,1,2,99,10,0
0,2,1,0,1,5,6,1
1,0,2,0,3,35,4,1
1,2,3,1,1,79,5,1
1,2,2,0,1,25,8,0
0,1,0,1,3,10,5,1
0,2,0,0,3,19,12,0
2,0,1,0,2,79,5,0
2,0,2,0,1,27,4,0
3,1,0,1,2,30,10,1
0,1,2,1,1,25,10,0
4,0,0,1,2,105,11,0
2,1,0,0,2,106,5,0
0,0,1,1,2,96,11,0
0,0,0,0,2,3,13,0
3,0,0,0,3,30,10,1
1,0,0,1,1,105,8,0
1,0,1,1,1,66,9,0
1,1,2,1,3,5,12,1
1,0,2,0,1,30,5,0
4,0,1,1,1,99,11,1
3,0,1,0,1,105,6,0
3,1,0,1,2,51,13,1
1,0,1,0,2,19,5,0
0,1,0,0,2,10,9,0
2,3,4,0,2,27,8,1
3,1,2,0,2,96,9,1
2,3,2,0,1,99,8,1
0,1,3,1,3,31,4,0
2,1,2,1,3,117,13,1
2,1,4,0,2,105,9,1
0,0,1,0,2,118,10,0
6,0,2,1,3,90,9,1
0,0,0,1,1,69,9,0
2,1,1,0,2,117,10,0
1,1,0,1,3,82,8,0
1,2,0,0,1,99,5,0
1,0,5,1,1,48,4,0
0,0,0,1,2,29,9,0
2,0,0,0,2,69,6,0
0,0,0,0,2,49,8,0
1,0,1,1,1,42,10,0
2,0,2,0,2,83,10,1
1,0,5,0,1,73,5,0
1,0,1,0,3,38,11,0
2,1,1,1,1,29,14,0
1,0,0,0,1,66,7,0
2,1,0,0,2,39,5,0
3,0,0,1,1,29,9,0
1,0,0,1,2,27,10,0
3,0,0,0,1,79,8,0
2,1,1,0,2,50,10,0
1,0,2,0,1,41,12,0
4,1,1,0,2,14,10,1
1,0,0,0,1,7,12,0
0,0,4,0,2,83,5,0
1,0,1,0,1,116,7,0
1,1,0,1,3,39,10,0
1,1,0,0,2,101,6,0
1,0,2,0,1,72,14,1
2,1,0,1,1,37,11,0
3,1,0,0,1,68,8,1
2,0,1,1,1,16,12,0
1,0,1,0,2,41,14,0
1,0,0,0,2,88,4,0
0,1,0,0,3,102,10,0
5,1,1,0,3,27,8,1
0,1,1,1,1,109,12,0
1,2,1,0,1,73,7,0
1,2,1,0,1,28,7,0
0,1,1,0,1,93,12,0
0,1,4,0,2,105,13,0
0,1,1,0,1,33,5,0
0,1,0,0,1,13,10,0
1,1,2,0,1,34,12,1
3,1,4,1,2,91,5,1
1,0,0,1,1,8,11,0
2,0,3,0,3,35,14,1
0,1,0,1,2,39,13,0
2,1,0,0,2,2,6,1
3,1,0,0,2,72,14,0
0,0,1,1,2,96,7,0
0,0,0,1,2,19,9,0
2,0,1,0,2,106,7,0
1,0,0,1,2,114,11,0
1,0,1,1,2,104,5,0
2,0,3,0,1,86,11,0
0,1,2,0,2,54,4,0
1,1,1,1,2,25,13,0
0,0,0,1,2,109,7,0
1,0,2,0,3,64,9,0
1,0,2,0,2,54,6,0
1,0,0,1,3,47,5,0
0,2,3,0,2,26,4,0
1,0,1,1,2,46,14,0
1,0,1,0,2,95,5,0
0,1,3,1,1,67,4,0
2,0,0,0,1,48,9,0
0,0,1,0,2,13,14,0
3,0,0,1,1,50,4,0
1,1,0,0,1,26,6,0
0,0,1,0,3,48,10,0
1,2,0,0,2,18,9,0
1,0,0,1,1,113,5,0
0,1,1,0,1,21,14,0
1,0,2,1,3,15,7,0
1,0,1,0,3,78,11,0
1,0,1,1,2,41,9,0
0,3,0,0,1,119,10,0
1,1,1,0,2,49,13,0
1,1,1,0,2,78,7,0
0,0,1,0,3,100,12,0
0,0,2,1,2,118,7,0
2,0,4,1,3,97,7,1
1,0,1,1,2,69,4,0
1,0,0,1,3,97,7,0
2,1,3,1,2,34,10,1
0,0,0,1,2,104,11,0
0,0,1,1,2,104,8,0
0,0,2,0,2,46,7,0
2,1,2,0,3,8,6,1
2,0,3,0,2,82,13,1
0,0,0,1,3,13,8,0
1,1,0,0,2,3,7,0
2,0,0,0,2,113,14,0
5,0,0,1,1,68,11,1
3,2,1,0,1,78,13,0
2,0,0,0,3,105,8,0
3,0,2,1,1,111,8,0
4,0,1,0,2,114,12,1
1,4,2,0,1,16,14,1
1,1,0,0,2,39,12,0
2,0,1,0,3,92,9,0
0,1,2,0,3,4,10,1
0,3,2,0,2,28,7,0
2,0,2,1,2,62,9,1
1,0,0,1,1,41,8,0
1,1,0,0,3,21,5,0
0,1,2,0,1,107,13,0
0,0,2,0,3,54,5,0
1,0,2,0,3,49,6,0
2,1,3,0,2,79,6,0
0,1,0,0,3,80,6,0
0,0,3,0,2,59,9,0
1,0,0,1,1,106,14,0
2,0,0,0,2,36,7,0
0,0,3,1,1,104,12,0
0,1,1,0,2,104,12,0
2,0,1,1,2,2,12,1
4,1,1,0,3,90,10,1
3,0,0,1,3,19,12,1
0,0,0,1,1,58,12,0
2,1,1,0,1,110,11,0
2,1,1,0,2,24,10,1
